2025 (1446/1447 H) Prayer times for the City of Edmonton and area,,,,,,,,,
,,,,,,,,,
,January,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,,
Thursday,23,6:28 AM,8:33 AM,12:47 PM,2:38 PM,5:02 PM,6:57 PM,23,
Friday,24,6:27 AM,8:31 AM,12:48 PM,2:40 PM,5:04 PM,6:59 PM,24,
Saturday,25,6:26 AM,8:30 AM,12:48 PM,2:41 PM,5:06 PM,7:00 PM,25,
Sunday,26,6:25 AM,8:29 AM,12:48 PM,2:43 PM,5:07 PM,7:02 PM,26,
Monday,27,6:24 AM,8:27 AM,12:48 PM,2:44 PM,5:09 PM,7:04 PM,27,
Tuesday,28,6:23 AM,8:26 AM,12:48 PM,2:46 PM,5:11 PM,7:05 PM,28,
Wednesday,29,6:22 AM,8:24 AM,12:49 PM,2:47 PM,5:13 PM,7:07 PM,29,
Thursday,30,6:20 AM,8:22 AM,12:49 PM,2:49 PM,5:15 PM,7:08 PM,30,
Friday,31,6:19 AM,8:21 AM,12:49 PM,2:51 PM,5:17 PM,7:10 PM,1,Sha'ban
,February,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,,
Saturday,1,6:18 AM,8:19 AM,12:49 PM,2:52 PM,5:19 PM,7:12 PM,2,
Sunday,2,6:16 AM,8:17 AM,12:49 PM,2:54 PM,5:21 PM,7:13 PM,3,
Monday,3,6:15 AM,8:16 AM,12:49 PM,2:55 PM,5:23 PM,7:15 PM,4,
Tuesday,4,6:14 AM,8:14 AM,12:50 PM,2:57 PM,5:25 PM,7:17 PM,5,
Wednesday,5,6:12 AM,8:12 AM,12:50 PM,2:58 PM,5:27 PM,7:18 PM,6,
Thursday,6,6:11 AM,8:10 AM,12:50 PM,3:00 PM,5:29 PM,7:20 PM,7,
Friday,7,6:09 AM,8:09 AM,12:50 PM,3:02 PM,5:31 PM,7:22 PM,8,
Saturday,8,6:07 AM,8:07 AM,12:50 PM,3:03 PM,5:33 PM,7:24 PM,9,
Sunday,9,6:06 AM,8:05 AM,12:50 PM,3:05 PM,5:35 PM,7:25 PM,10,
Monday,10,6:04 AM,8:03 AM,12:50 PM,3:06 PM,5:37 PM,7:27 PM,11,
Tuesday,11,6:02 AM,8:01 AM,12:50 PM,3:08 PM,5:39 PM,7:29 PM,12,
Wednesday,12,6:01 AM,7:59 AM,12:50 PM,3:09 PM,5:41 PM,7:31 PM,13,
Thursday,13,5:59 AM,7:57 AM,12:50 PM,3:11 PM,5:43 PM,7:33 PM,14,
Friday,14,5:57 AM,7:55 AM,12:50 PM,3:12 PM,5:45 PM,7:34 PM,15,
Saturday,15,5:55 AM,7:53 AM,12:50 PM,3:14 PM,5:47 PM,7:36 PM,16,
Sunday,16,5:53 AM,7:51 AM,12:50 PM,3:16 PM,5:49 PM,7:38 PM,17,
Monday,17,5:51 AM,7:49 AM,12:50 PM,3:17 PM,5:51 PM,7:40 PM,18,
Tuesday,18,5:49 AM,7:47 AM,12:50 PM,3:19 PM,5:53 PM,7:42 PM,19,
Wednesday,19,5:47 AM,7:45 AM,12:50 PM,3:20 PM,5:55 PM,7:43 PM,20,
Thursday,20,5:45 AM,7:42 AM,12:50 PM,3:22 PM,5:57 PM,7:45 PM,21,
Friday,21,5:43 AM,7:40 AM,12:50 PM,3:23 PM,5:59 PM,7:47 PM,22,
Saturday,22,5:41 AM,7:38 AM,12:50 PM,3:25 PM,6:01 PM,7:49 PM,23,
Sunday,23,5:39 AM,7:36 AM,12:49 PM,3:26 PM,6:03 PM,7:51 PM,24,
Monday,24,5:37 AM,7:34 AM,12:49 PM,3:27 PM,6:05 PM,7:53 PM,25,
Tuesday,25,5:35 AM,7:31 AM,12:49 PM,3:29 PM,6:07 PM,7:55 PM,26,
Wednesday,26,5:33 AM,7:29 AM,12:49 PM,3:30 PM,6:09 PM,7:56 PM,27,
Thursday,27,5:30 AM,7:27 AM,12:49 PM,3:32 PM,6:11 PM,7:58 PM,28,
Friday,28,5:28 AM,7:25 AM,12:49 PM,3:33 PM,6:13 PM,8:00 PM,29,
,March,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,,
Saturday,1,5:26 AM,7:22 AM,12:48 PM,3:35 PM,6:15 PM,8:02 PM,1,Ramadan
Sunday,2,5:24 AM,7:20 AM,12:48 PM,3:36 PM,6:17 PM,8:04 PM,2,
Monday,3,5:21 AM,7:18 AM,12:48 PM,3:37 PM,6:18 PM,8:06 PM,3,
Tuesday,4,5:19 AM,7:15 AM,12:48 PM,3:39 PM,6:20 PM,8:08 PM,4,
Wednesday,5,5:17 AM,7:13 AM,12:48 PM,3:40 PM,6:22 PM,8:10 PM,5,
Thursday,6,5:14 AM,7:11 AM,12:47 PM,3:41 PM,6:24 PM,8:12 PM,6,
Friday,7,5:12 AM,7:08 AM,12:47 PM,3:43 PM,6:26 PM,8:14 PM,7,
Saturday,8,5:09 AM,7:06 AM,12:47 PM,3:44 PM,6:28 PM,8:16 PM,8,
Sunday,9,6:07 AM,8:04 AM,1:47 PM,4:45 PM,7:30 PM,9:18 PM,9,Daylight saving begins
Monday,10,6:04 AM,8:01 AM,1:46 PM,4:46 PM,7:32 PM,9:20 PM,10,
Tuesday,11,6:02 AM,7:59 AM,1:46 PM,4:48 PM,7:34 PM,9:22 PM,11,
Wednesday,12,5:59 AM,7:56 AM,1:46 PM,4:49 PM,7:36 PM,9:24 PM,12,
Thursday,13,5:56 AM,7:54 AM,1:46 PM,4:50 PM,7:37 PM,9:26 PM,13,
Friday,14,5:54 AM,7:52 AM,1:45 PM,4:51 PM,7:39 PM,9:28 PM,14,
Saturday,15,5:51 AM,7:49 AM,1:45 PM,4:53 PM,7:41 PM,9:30 PM,15,
Sunday,16,5:48 AM,7:47 AM,1:45 PM,4:54 PM,7:43 PM,9:32 PM,16,
Monday,17,5:46 AM,7:44 AM,1:45 PM,4:55 PM,7:45 PM,9:34 PM,17,
Tuesday,18,5:43 AM,7:42 AM,1:44 PM,4:56 PM,7:47 PM,9:36 PM,18,
Wednesday,19,5:40 AM,7:39 AM,1:44 PM,4:57 PM,7:48 PM,9:38 PM,19,
Thursday,20,5:37 AM,7:37 AM,1:44 PM,4:58 PM,7:50 PM,9:40 PM,20,
Friday,21,5:34 AM,7:34 AM,1:43 PM,4:59 PM,7:52 PM,9:41 PM,21,
Saturday,22,5:32 AM,7:32 AM,1:43 PM,5:01 PM,7:54 PM,9:42 PM,22,
Sunday,23,5:29 AM,7:30 AM,1:43 PM,5:02 PM,7:56 PM,9:43 PM,23,
Monday,24,5:26 AM,7:27 AM,1:42 PM,5:03 PM,7:58 PM,9:43 PM,24,
Tuesday,25,5:23 AM,7:25 AM,1:42 PM,5:04 PM,7:59 PM,9:44 PM,25,
Wednesday,26,5:20 AM,7:22 AM,1:42 PM,5:05 PM,8:01 PM,9:45 PM,26,
Thursday,27,5:17 AM,7:20 AM,1:41 PM,5:06 PM,8:03 PM,9:46 PM,27,
Friday,28,5:14 AM,7:17 AM,1:41 PM,5:07 PM,8:05 PM,9:46 PM,28,
Saturday,29,5:11 AM,7:15 AM,1:41 PM,5:08 PM,8:07 PM,9:47 PM,29,
Sunday,30,5:08 AM,7:12 AM,1:40 PM,5:09 PM,8:09 PM,9:48 PM,1,Shawwal
Monday,31,5:05 AM,7:10 AM,1:40 PM,5:10 PM,8:10 PM,9:49 PM,2,
,April,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,,
Tuesday,1,5:02 AM,7:07 AM,1:40 PM,5:11 PM,8:12 PM,9:49 PM,3,
Wednesday,2,4:59 AM,7:05 AM,1:39 PM,5:12 PM,8:14 PM,9:50 PM,4,
Thursday,3,4:56 AM,7:03 AM,1:39 PM,5:13 PM,8:16 PM,9:51 PM,5,
Friday,4,4:52 AM,7:00 AM,1:39 PM,5:14 PM,8:18 PM,9:52 PM,6,
Saturday,5,4:49 AM,6:58 AM,1:39 PM,5:15 PM,8:19 PM,9:52 PM,7,
Sunday,6,4:46 AM,6:55 AM,1:38 PM,5:16 PM,8:21 PM,9:53 PM,8,
Monday,7,4:43 AM,6:53 AM,1:38 PM,5:17 PM,8:23 PM,9:54 PM,9,
Tuesday,8,4:39 AM,6:51 AM,1:38 PM,5:18 PM,8:25 PM,9:54 PM,10,
Wednesday,9,4:36 AM,6:48 AM,1:37 PM,5:19 PM,8:27 PM,9:55 PM,11,
Thursday,10,4:33 AM,6:46 AM,1:37 PM,5:20 PM,8:28 PM,9:56 PM,12,
Friday,11,4:29 AM,6:43 AM,1:37 PM,5:20 PM,8:30 PM,9:57 PM,13,
Saturday,12,4:26 AM,6:41 AM,1:37 PM,5:21 PM,8:32 PM,9:57 PM,14,
Sunday,13,4:23 AM,6:39 AM,1:36 PM,5:22 PM,8:34 PM,9:58 PM,15,
Monday,14,4:19 AM,6:36 AM,1:36 PM,5:23 PM,8:36 PM,9:59 PM,16,
Tuesday,15,4:16 AM,6:34 AM,1:36 PM,5:24 PM,8:37 PM,10:00 PM,17,
Wednesday,16,4:12 AM,6:32 AM,1:35 PM,5:25 PM,8:39 PM,10:00 PM,18,
Thursday,17,4:08 AM,6:29 AM,1:35 PM,5:26 PM,8:41 PM,10:01 PM,19,
Friday,18,4:05 AM,6:27 AM,1:35 PM,5:26 PM,8:43 PM,10:02 PM,20,
Saturday,19,4:01 AM,6:25 AM,1:35 PM,5:27 PM,8:45 PM,10:03 PM,21,
Sunday,20,3:57 AM,6:22 AM,1:34 PM,5:28 PM,8:46 PM,10:03 PM,22,
Monday,21,3:56 AM,6:20 AM,1:34 PM,5:29 PM,8:48 PM,10:03 PM,23,
Tuesday,22,3:55 AM,6:18 AM,1:34 PM,5:30 PM,8:50 PM,10:05 PM,24,
Wednesday,23,3:54 AM,6:16 AM,1:34 PM,5:31 PM,8:52 PM,10:07 PM,25,
Thursday,24,3:52 AM,6:14 AM,1:34 PM,5:31 PM,8:54 PM,10:09 PM,26,
Friday,25,3:51 AM,6:11 AM,1:33 PM,5:32 PM,8:56 PM,10:11 PM,27,
Saturday,26,3:50 AM,6:09 AM,1:33 PM,5:33 PM,8:57 PM,10:12 PM,28,
Sunday,27,3:49 AM,6:07 AM,1:33 PM,5:34 PM,8:59 PM,10:14 PM,29,
Monday,28,3:48 AM,6:05 AM,1:33 PM,5:35 PM,9:01 PM,10:16 PM,30,
Tuesday,29,3:47 AM,6:03 AM,1:33 PM,5:35 PM,9:03 PM,10:18 PM,1,Thul-Qi’dah
Wednesday,30,3:45 AM,6:01 AM,1:33 PM,5:36 PM,9:05 PM,10:20 PM,2,
,May,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,,
Thursday,1,3:44 AM,5:59 AM,1:33 PM,5:37 PM,9:06 PM,10:21 PM,3,
Friday,2,3:43 AM,5:57 AM,1:32 PM,5:38 PM,9:08 PM,10:23 PM,4,
Saturday,3,3:42 AM,5:55 AM,1:32 PM,5:38 PM,9:10 PM,10:25 PM,5,
Sunday,4,3:41 AM,5:53 AM,1:32 PM,5:39 PM,9:12 PM,10:27 PM,6,
Monday,5,3:40 AM,5:51 AM,1:32 PM,5:40 PM,9:13 PM,10:28 PM,7,
Tuesday,6,3:39 AM,5:49 AM,1:32 PM,5:40 PM,9:15 PM,10:30 PM,8,
Wednesday,7,3:38 AM,5:47 AM,1:32 PM,5:41 PM,9:17 PM,10:32 PM,9,
Thursday,8,3:37 AM,5:45 AM,1:32 PM,5:42 PM,9:19 PM,10:34 PM,10,
Friday,9,3:36 AM,5:43 AM,1:32 PM,5:43 PM,9:20 PM,10:35 PM,11,
Saturday,10,3:35 AM,5:41 AM,1:32 PM,5:43 PM,9:22 PM,10:37 PM,12,
Sunday,11,3:34 AM,5:40 AM,1:32 PM,5:44 PM,9:24 PM,10:39 PM,13,
Monday,12,3:33 AM,5:38 AM,1:32 PM,5:45 PM,9:26 PM,10:41 PM,14,
Tuesday,13,3:33 AM,5:36 AM,1:32 PM,5:45 PM,9:27 PM,10:42 PM,15,
Wednesday,14,3:32 AM,5:34 AM,1:32 PM,5:46 PM,9:29 PM,10:44 PM,16,
Thursday,15,3:31 AM,5:33 AM,1:32 PM,5:47 PM,9:31 PM,10:46 PM,17,
Friday,16,3:30 AM,5:31 AM,1:32 PM,5:47 PM,9:32 PM,10:47 PM,18,
Saturday,17,3:29 AM,5:30 AM,1:32 PM,5:48 PM,9:34 PM,10:49 PM,19,
Sunday,18,3:29 AM,5:28 AM,1:32 PM,5:49 PM,9:36 PM,10:51 PM,20,
Monday,19,3:28 AM,5:26 AM,1:32 PM,5:49 PM,9:37 PM,10:52 PM,21,
Tuesday,20,3:27 AM,5:25 AM,1:32 PM,5:50 PM,9:39 PM,10:54 PM,22,
Wednesday,21,3:27 AM,5:24 AM,1:32 PM,5:50 PM,9:40 PM,10:55 PM,23,
Thursday,22,3:25 AM,5:22 AM,1:32 PM,5:51 PM,9:42 PM,10:57 PM,24,
Friday,23,3:23 AM,5:21 AM,1:32 PM,5:52 PM,9:43 PM,10:58 PM,25,
Saturday,24,3:21 AM,5:20 AM,1:32 PM,5:52 PM,9:45 PM,11:00 PM,26,
Sunday,25,3:19 AM,5:18 AM,1:32 PM,5:53 PM,9:46 PM,11:01 PM,27,
Monday,26,3:18 AM,5:17 AM,1:32 PM,5:53 PM,9:48 PM,11:03 PM,28,
Tuesday,27,3:16 AM,5:16 AM,1:32 PM,5:54 PM,9:49 PM,11:04 PM,29,
Wednesday,28,3:14 AM,5:15 AM,1:33 PM,5:55 PM,9:50 PM,11:05 PM,1,Thul-Hijjah
Thursday,29,3:13 AM,5:14 AM,1:33 PM,5:55 PM,9:52 PM,11:07 PM,2,
Friday,30,3:11 AM,5:13 AM,1:33 PM,5:56 PM,9:53 PM,11:08 PM,3,
Saturday,31,3:10 AM,5:12 AM,1:33 PM,5:56 PM,9:54 PM,11:09 PM,4,
,June,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,,
Sunday,1,3:09 AM,5:11 AM,1:33 PM,5:57 PM,9:55 PM,11:10 PM,5,
Monday,2,3:07 AM,5:10 AM,1:33 PM,5:57 PM,9:57 PM,11:12 PM,6,
Tuesday,3,3:06 AM,5:09 AM,1:33 PM,5:58 PM,9:58 PM,11:13 PM,7,
Wednesday,4,3:05 AM,5:08 AM,1:34 PM,5:58 PM,9:59 PM,11:14 PM,8,
Thursday,5,3:04 AM,5:08 AM,1:34 PM,5:59 PM,10:00 PM,11:15 PM,9,
Friday,6,3:03 AM,5:07 AM,1:34 PM,5:59 PM,10:01 PM,11:16 PM,10,
Saturday,7,3:02 AM,5:06 AM,1:34 PM,5:59 PM,10:02 PM,11:17 PM,11,
Sunday,8,3:01 AM,5:06 AM,1:34 PM,6:00 PM,10:03 PM,11:18 PM,12,
Monday,9,3:00 AM,5:05 AM,1:34 PM,6:00 PM,10:04 PM,11:19 PM,13,
Tuesday,10,2:59 AM,5:05 AM,1:35 PM,6:01 PM,10:05 PM,11:20 PM,14,
Wednesday,11,2:58 AM,5:04 AM,1:35 PM,6:01 PM,10:05 PM,11:20 PM,15,
Thursday,12,2:58 AM,5:04 AM,1:35 PM,6:01 PM,10:06 PM,11:21 PM,16,
Friday,13,2:57 AM,5:04 AM,1:35 PM,6:02 PM,10:07 PM,11:22 PM,17,
Saturday,14,2:57 AM,5:03 AM,1:35 PM,6:02 PM,10:07 PM,11:22 PM,18,
Sunday,15,2:57 AM,5:03 AM,1:36 PM,6:02 PM,10:08 PM,11:23 PM,19,
Monday,16,2:56 AM,5:03 AM,1:36 PM,6:03 PM,10:09 PM,11:24 PM,20,
Tuesday,17,2:56 AM,5:03 AM,1:36 PM,6:03 PM,10:09 PM,11:24 PM,21,
Wednesday,18,2:56 AM,5:03 AM,1:36 PM,6:03 PM,10:09 PM,11:24 PM,22,
Thursday,19,2:56 AM,5:03 AM,1:36 PM,6:04 PM,10:10 PM,11:25 PM,23,
Friday,20,2:56 AM,5:03 AM,1:37 PM,6:04 PM,10:10 PM,11:25 PM,24,
Saturday,21,2:56 AM,5:03 AM,1:37 PM,6:04 PM,10:10 PM,11:25 PM,25,
Sunday,22,2:56 AM,5:04 AM,1:37 PM,6:04 PM,10:11 PM,11:26 PM,26,
Monday,23,2:57 AM,5:04 AM,1:37 PM,6:04 PM,10:11 PM,11:26 PM,27,
Tuesday,24,2:57 AM,5:04 AM,1:38 PM,6:05 PM,10:11 PM,11:26 PM,28,
Wednesday,25,2:58 AM,5:05 AM,1:38 PM,6:05 PM,10:11 PM,11:26 PM,29,
Thursday,26,2:58 AM,5:05 AM,1:38 PM,6:05 PM,10:11 PM,11:26 PM,1,Muharram 1447 H
Friday,27,2:59 AM,5:06 AM,1:38 PM,6:05 PM,10:11 PM,11:26 PM,2,
Saturday,28,3:00 AM,5:06 AM,1:38 PM,6:05 PM,10:10 PM,11:25 PM,3,
Sunday,29,3:00 AM,5:07 AM,1:39 PM,6:05 PM,10:10 PM,11:25 PM,4,
Monday,30,3:01 AM,5:07 AM,1:39 PM,6:05 PM,10:10 PM,11:25 PM,5,
,July,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,,
Tuesday,1,3:02 AM,5:08 AM,1:39 PM,6:05 PM,10:10 PM,11:25 PM,6,
Wednesday,2,3:03 AM,5:09 AM,1:39 PM,6:05 PM,10:09 PM,11:24 PM,7,
Thursday,3,3:05 AM,5:10 AM,1:39 PM,6:05 PM,10:09 PM,11:24 PM,8,
Friday,4,3:06 AM,5:11 AM,1:39 PM,6:05 PM,10:08 PM,11:23 PM,9,
Saturday,5,3:07 AM,5:11 AM,1:40 PM,6:05 PM,10:08 PM,11:23 PM,10,
Sunday,6,3:08 AM,5:12 AM,1:40 PM,6:05 PM,10:07 PM,11:22 PM,11,
Monday,7,3:10 AM,5:13 AM,1:40 PM,6:05 PM,10:07 PM,11:22 PM,12,
Tuesday,8,3:11 AM,5:14 AM,1:40 PM,6:05 PM,10:06 PM,11:21 PM,13,
Wednesday,9,3:13 AM,5:15 AM,1:40 PM,6:05 PM,10:05 PM,11:20 PM,14,
Thursday,10,3:14 AM,5:17 AM,1:40 PM,6:04 PM,10:04 PM,11:19 PM,15,
Friday,11,3:16 AM,5:18 AM,1:41 PM,6:04 PM,10:03 PM,11:18 PM,16,
Saturday,12,3:17 AM,5:19 AM,1:41 PM,6:04 PM,10:02 PM,11:17 PM,17,
Sunday,13,3:19 AM,5:20 AM,1:41 PM,6:04 PM,10:02 PM,11:17 PM,18,
Monday,14,3:21 AM,5:21 AM,1:41 PM,6:04 PM,10:00 PM,11:15 PM,19,
Tuesday,15,3:22 AM,5:23 AM,1:41 PM,6:03 PM,9:59 PM,11:14 PM,20,
Wednesday,16,3:24 AM,5:24 AM,1:41 PM,6:03 PM,9:58 PM,11:13 PM,21,
Thursday,17,3:26 AM,5:25 AM,1:41 PM,6:03 PM,9:57 PM,11:12 PM,22,
Friday,18,3:28 AM,5:27 AM,1:41 PM,6:02 PM,9:56 PM,11:11 PM,23,
Saturday,19,3:30 AM,5:28 AM,1:41 PM,6:02 PM,9:55 PM,11:10 PM,24,
Sunday,20,3:32 AM,5:30 AM,1:41 PM,6:01 PM,9:53 PM,11:08 PM,25,
Monday,21,3:34 AM,5:31 AM,1:42 PM,6:01 PM,9:52 PM,11:07 PM,26,
Tuesday,22,3:36 AM,5:32 AM,1:42 PM,6:00 PM,9:51 PM,11:06 PM,27,
Wednesday,23,3:37 AM,5:34 AM,1:42 PM,6:00 PM,9:49 PM,11:04 PM,28,
Thursday,24,3:38 AM,5:35 AM,1:42 PM,5:59 PM,9:48 PM,11:03 PM,29,
Friday,25,3:39 AM,5:37 AM,1:42 PM,5:59 PM,9:46 PM,11:01 PM,30,
Saturday,26,3:40 AM,5:39 AM,1:42 PM,5:58 PM,9:45 PM,11:00 PM,1,Safar
Sunday,27,3:40 AM,5:40 AM,1:42 PM,5:58 PM,9:43 PM,10:58 PM,2,
Monday,28,3:41 AM,5:42 AM,1:42 PM,5:57 PM,9:42 PM,10:57 PM,3,
Tuesday,29,3:42 AM,5:43 AM,1:42 PM,5:56 PM,9:40 PM,10:55 PM,4,
Wednesday,30,3:43 AM,5:45 AM,1:42 PM,5:56 PM,9:38 PM,10:53 PM,5,
Thursday,31,3:44 AM,5:47 AM,1:42 PM,5:55 PM,9:36 PM,10:51 PM,6,
,August,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,,
Friday,1,3:44 AM,5:48 AM,1:41 PM,5:54 PM,9:35 PM,10:50 PM,7,
Saturday,2,3:45 AM,5:50 AM,1:41 PM,5:53 PM,9:33 PM,10:48 PM,8,
Sunday,3,3:46 AM,5:52 AM,1:41 PM,5:53 PM,9:31 PM,10:46 PM,9,
Monday,4,3:47 AM,5:53 AM,1:41 PM,5:52 PM,9:29 PM,10:44 PM,10,
Tuesday,5,3:48 AM,5:55 AM,1:41 PM,5:51 PM,9:27 PM,10:42 PM,11,
Wednesday,6,3:48 AM,5:57 AM,1:41 PM,5:50 PM,9:25 PM,10:40 PM,12,
Thursday,7,3:49 AM,5:58 AM,1:41 PM,5:49 PM,9:24 PM,10:39 PM,13,
Friday,8,3:50 AM,6:00 AM,1:41 PM,5:48 PM,9:22 PM,10:37 PM,14,
Saturday,9,3:51 AM,6:02 AM,1:41 PM,5:47 PM,9:20 PM,10:35 PM,15,
Sunday,10,3:52 AM,6:03 AM,1:41 PM,5:46 PM,9:18 PM,10:33 PM,16,
Monday,11,3:52 AM,6:05 AM,1:40 PM,5:45 PM,9:16 PM,10:31 PM,17,
Tuesday,12,3:53 AM,6:07 AM,1:40 PM,5:44 PM,9:14 PM,10:29 PM,18,
Wednesday,13,3:54 AM,6:09 AM,1:40 PM,5:43 PM,9:11 PM,10:26 PM,19,
Thursday,14,3:55 AM,6:10 AM,1:40 PM,5:42 PM,9:09 PM,10:24 PM,20,
Friday,15,3:56 AM,6:12 AM,1:40 PM,5:41 PM,9:07 PM,10:22 PM,21,
Saturday,16,3:56 AM,6:14 AM,1:39 PM,5:40 PM,9:05 PM,10:20 PM,22,
Sunday,17,3:57 AM,6:16 AM,1:39 PM,5:39 PM,9:03 PM,10:18 PM,23,
Monday,18,3:58 AM,6:17 AM,1:39 PM,5:38 PM,9:01 PM,10:16 PM,24,
Tuesday,19,3:59 AM,6:19 AM,1:39 PM,5:36 PM,8:58 PM,10:13 PM,25,
Wednesday,20,3:59 AM,6:21 AM,1:39 PM,5:35 PM,8:56 PM,10:11 PM,26,
Thursday,21,4:00 AM,6:23 AM,1:38 PM,5:34 PM,8:54 PM,10:10 PM,27,
Friday,22,4:01 AM,6:24 AM,1:38 PM,5:33 PM,8:52 PM,10:09 PM,28,
Saturday,23,4:01 AM,6:26 AM,1:38 PM,5:31 PM,8:49 PM,10:07 PM,29,
Sunday,24,4:04 AM,6:28 AM,1:37 PM,5:30 PM,8:47 PM,10:06 PM,1,Rabi Al-Awwal
Monday,25,4:08 AM,6:30 AM,1:37 PM,5:29 PM,8:45 PM,10:05 PM,2,
Tuesday,26,4:11 AM,6:31 AM,1:37 PM,5:27 PM,8:43 PM,10:03 PM,3,
Wednesday,27,4:14 AM,6:33 AM,1:37 PM,5:26 PM,8:40 PM,10:02 PM,4,
Thursday,28,4:16 AM,6:35 AM,1:36 PM,5:24 PM,8:38 PM,10:01 PM,5,
Friday,29,4:19 AM,6:36 AM,1:36 PM,5:23 PM,8:36 PM,9:59 PM,6,
Saturday,30,4:22 AM,6:38 AM,1:36 PM,5:22 PM,8:33 PM,9:58 PM,7,
Sunday,31,4:25 AM,6:40 AM,1:35 PM,5:20 PM,8:31 PM,9:57 PM,8,
,September,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,,
Monday,1,4:28 AM,6:42 AM,1:35 PM,5:19 PM,8:28 PM,9:55 PM,9,
Tuesday,2,4:30 AM,6:43 AM,1:35 PM,5:17 PM,8:26 PM,9:54 PM,10,
Wednesday,3,4:33 AM,6:45 AM,1:34 PM,5:16 PM,8:24 PM,9:53 PM,11,
Thursday,4,4:36 AM,6:47 AM,1:34 PM,5:14 PM,8:21 PM,9:51 PM,12,
Friday,5,4:38 AM,6:49 AM,1:34 PM,5:13 PM,8:19 PM,9:50 PM,13,
Saturday,6,4:41 AM,6:50 AM,1:33 PM,5:11 PM,8:16 PM,9:49 PM,14,
Sunday,7,4:43 AM,6:52 AM,1:33 PM,5:09 PM,8:14 PM,9:47 PM,15,
Monday,8,4:46 AM,6:54 AM,1:33 PM,5:08 PM,8:11 PM,9:46 PM,16,
Tuesday,9,4:48 AM,6:55 AM,1:32 PM,5:06 PM,8:09 PM,9:45 PM,17,
Wednesday,10,4:51 AM,6:57 AM,1:32 PM,5:05 PM,8:07 PM,9:43 PM,18,
Thursday,11,4:53 AM,6:59 AM,1:31 PM,5:03 PM,8:04 PM,9:42 PM,19,
Friday,12,4:56 AM,7:01 AM,1:31 PM,5:01 PM,8:02 PM,9:41 PM,20,
Saturday,13,4:58 AM,7:02 AM,1:31 PM,5:00 PM,7:59 PM,9:39 PM,21,
Sunday,14,5:00 AM,7:04 AM,1:30 PM,4:58 PM,7:57 PM,9:38 PM,22,
Monday,15,5:03 AM,7:06 AM,1:30 PM,4:56 PM,7:54 PM,9:37 PM,23,
Tuesday,16,5:05 AM,7:08 AM,1:30 PM,4:54 PM,7:52 PM,9:36 PM,24,
