,January,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Monday,5,6:12 AM,8:12 AM,12:50 PM,2:58 PM,5:25 PM,7:19 PM,
Tuesday,6,6:11 AM,8:10 AM,12:50 PM,3:00 PM,5:27 PM,7:20 PM,
Wednesday,7,6:09 AM,8:09 AM,12:50 PM,3:02 PM,5:29 PM,7:22 PM,
Thursday,8,6:07 AM,8:07 AM,12:50 PM,3:03 PM,5:31 PM,7:24 PM,
Friday,9,6:06 AM,8:05 AM,12:50 PM,3:05 PM,5:33 PM,7:25 PM,
Saturday,10,6:04 AM,8:03 AM,12:50 PM,3:06 PM,5:35 PM,7:27 PM,
Sunday,11,6:02 AM,8:01 AM,12:50 PM,3:08 PM,5:37 PM,7:29 PM,
Monday,12,6:01 AM,7:59 AM,12:50 PM,3:09 PM,5:39 PM,7:31 PM,
Tuesday,13,5:59 AM,7:57 AM,12:50 PM,3:11 PM,5:41 PM,7:33 PM,
Wednesday,14,5:57 AM,7:55 AM,12:50 PM,3:12 PM,5:43 PM,7:34 PM,
Thursday,15,5:55 AM,7:53 AM,12:50 PM,3:14 PM,5:45 PM,7:36 PM,
Friday,16,5:53 AM,7:51 AM,12:50 PM,3:16 PM,5:47 PM,7:38 PM,
Saturday,17,5:51 AM,7:49 AM,12:50 PM,3:17 PM,5:49 PM,7:40 PM,
Sunday,18,5:49 AM,7:47 AM,12:50 PM,3:19 PM,5:51 PM,7:42 PM,
Monday,19,5:47 AM,7:45 AM,12:50 PM,3:20 PM,5:53 PM,7:43 PM,
Tuesday,20,5:45 AM,7:42 AM,12:50 PM,3:22 PM,5:55 PM,7:45 PM,
Wednesday,21,5:43 AM,7:40 AM,12:50 PM,3:23 PM,5:57 PM,7:47 PM,
Thursday,22,5:41 AM,7:38 AM,12:50 PM,3:25 PM,5:59 PM,7:49 PM,
Friday,23,5:39 AM,7:36 AM,12:49 PM,3:26 PM,6:01 PM,7:51 PM,
Saturday,24,5:37 AM,7:34 AM,12:49 PM,3:27 PM,6:03 PM,7:53 PM,
Sunday,25,5:35 AM,7:31 AM,12:49 PM,3:29 PM,6:05 PM,7:55 PM,
Monday,26,5:33 AM,7:29 AM,12:49 PM,3:30 PM,6:07 PM,7:56 PM,
Tuesday,27,5:30 AM,7:27 AM,12:49 PM,3:32 PM,6:09 PM,7:58 PM,
Wednesday,28,5:28 AM,7:25 AM,12:49 PM,3:33 PM,6:11 PM,8:00 PM,
Thursday,29,5:27 AM,7:24 AM,12:49 PM,3:34 PM,6:12 PM,8:01 PM,
,March,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Friday,1,5:26 AM,7:22 AM,12:48 PM,3:35 PM,6:13 PM,8:02 PM,
Saturday,2,5:24 AM,7:20 AM,12:48 PM,3:36 PM,6:15 PM,8:04 PM,
Sunday,3,5:21 AM,7:18 AM,12:48 PM,3:37 PM,6:17 PM,8:06 PM,
Monday,4,5:19 AM,7:15 AM,12:48 PM,3:39 PM,6:18 PM,8:08 PM,
Tuesday,5,5:17 AM,7:13 AM,12:48 PM,3:40 PM,6:20 PM,8:10 PM,
Wednesday,6,5:14 AM,7:11 AM,12:47 PM,3:41 PM,6:22 PM,8:12 PM,
Thursday,7,5:12 AM,7:08 AM,12:47 PM,3:43 PM,6:24 PM,8:14 PM,
Friday,8,5:09 AM,7:06 AM,12:47 PM,3:44 PM,6:26 PM,8:16 PM,
Saturday,9,5:07 AM,7:04 AM,12:47 PM,3:45 PM,6:28 PM,8:18 PM,
Sunday,10,6:04 AM,8:01 AM,1:46 PM,4:46 PM,7:30 PM,9:20 PM,
Monday,11,6:02 AM,7:59 AM,1:46 PM,4:48 PM,7:32 PM,9:22 PM,
Tuesday,12,5:59 AM,7:56 AM,1:46 PM,4:49 PM,7:34 PM,9:24 PM,
Wednesday,13,5:56 AM,7:54 AM,1:46 PM,4:50 PM,7:35 PM,9:26 PM,
Thursday,14,5:54 AM,7:52 AM,1:45 PM,4:51 PM,7:37 PM,9:28 PM,
Friday,15,5:51 AM,7:49 AM,1:45 PM,4:53 PM,7:39 PM,9:30 PM,
Saturday,16,5:48 AM,7:47 AM,1:45 PM,4:54 PM,7:41 PM,9:32 PM,
Sunday,17,5:46 AM,7:44 AM,1:45 PM,4:55 PM,7:43 PM,9:34 PM,
Monday,18,5:43 AM,7:42 AM,1:44 PM,4:56 PM,7:45 PM,9:36 PM,
Tuesday,19,5:40 AM,7:39 AM,1:44 PM,4:57 PM,7:46 PM,9:38 PM,
Wednesday,20,5:37 AM,7:37 AM,1:44 PM,4:58 PM,7:48 PM,9:40 PM,
Thursday,21,5:34 AM,7:34 AM,1:43 PM,4:59 PM,7:50 PM,9:41 PM,
Friday,22,5:32 AM,7:32 AM,1:43 PM,5:01 PM,7:52 PM,9:42 PM,
Saturday,23,5:29 AM,7:30 AM,1:43 PM,5:02 PM,7:54 PM,9:43 PM,
Sunday,24,5:26 AM,7:27 AM,1:42 PM,5:03 PM,7:56 PM,9:43 PM,
Monday,25,5:23 AM,7:25 AM,1:42 PM,5:04 PM,7:57 PM,9:44 PM,
Tuesday,26,5:20 AM,7:22 AM,1:42 PM,5:05 PM,7:59 PM,9:45 PM,
Wednesday,27,5:17 AM,7:20 AM,1:41 PM,5:06 PM,8:01 PM,9:45 PM,
Thursday,28,5:14 AM,7:17 AM,1:41 PM,5:07 PM,8:03 PM,9:46 PM,
Friday,29,5:11 AM,7:15 AM,1:41 PM,5:08 PM,8:05 PM,9:47 PM,
Saturday,30,5:08 AM,7:12 AM,1:40 PM,5:09 PM,8:07 PM,9:47 PM,
Sunday,31,5:05 AM,7:10 AM,1:40 PM,5:10 PM,8:08 PM,9:48 PM,
,April,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Monday,1,5:02 AM,7:07 AM,1:40 PM,5:11 PM,8:10 PM,9:49 PM,
Tuesday,2,4:59 AM,7:05 AM,1:39 PM,5:12 PM,8:12 PM,9:49 PM,
Wednesday,3,4:56 AM,7:03 AM,1:39 PM,5:13 PM,8:14 PM,9:50 PM,
Thursday,4,4:52 AM,7:00 AM,1:39 PM,5:14 PM,8:16 PM,9:51 PM,
Friday,5,4:49 AM,6:58 AM,1:39 PM,5:15 PM,8:17 PM,9:51 PM,
Saturday,6,4:46 AM,6:55 AM,1:38 PM,5:16 PM,8:19 PM,9:52 PM,
Sunday,7,4:43 AM,6:53 AM,1:38 PM,5:17 PM,8:21 PM,9:53 PM,
Monday,8,4:39 AM,6:51 AM,1:38 PM,5:18 PM,8:23 PM,9:53 PM,
Tuesday,9,4:36 AM,6:48 AM,1:37 PM,5:19 PM,8:25 PM,9:54 PM,
Wednesday,10,4:33 AM,6:46 AM,1:37 PM,5:20 PM,8:26 PM,9:55 PM,
Thursday,11,4:29 AM,6:43 AM,1:37 PM,5:20 PM,8:28 PM,9:55 PM,
Friday,12,4:26 AM,6:41 AM,1:37 PM,5:21 PM,8:30 PM,9:56 PM,
Saturday,13,4:23 AM,6:39 AM,1:36 PM,5:22 PM,8:32 PM,9:57 PM,
Sunday,14,4:19 AM,6:36 AM,1:36 PM,5:23 PM,8:34 PM,9:57 PM,
Monday,15,4:16 AM,6:34 AM,1:36 PM,5:24 PM,8:35 PM,9:58 PM,
Tuesday,16,4:12 AM,6:32 AM,1:35 PM,5:25 PM,8:37 PM,9:59 PM,
Wednesday,17,4:08 AM,6:29 AM,1:35 PM,5:26 PM,8:39 PM,9:59 PM,
Thursday,18,4:05 AM,6:27 AM,1:35 PM,5:27 PM,8:41 PM,10:00 PM,
Friday,19,4:01 AM,6:25 AM,1:35 PM,5:27 PM,8:43 PM,10:01 PM,
Saturday,20,3:57 AM,6:22 AM,1:34 PM,5:28 PM,8:45 PM,10:01 PM,
Sunday,21,3:56 AM,6:20 AM,1:34 PM,5:29 PM,8:46 PM,10:01 PM,
Monday,22,3:55 AM,6:18 AM,1:34 PM,5:30 PM,8:48 PM,10:03 PM,
Tuesday,23,3:54 AM,6:16 AM,1:34 PM,5:31 PM,8:50 PM,10:05 PM,
Wednesday,24,3:52 AM,6:14 AM,1:34 PM,5:31 PM,8:52 PM,10:07 PM,
Thursday,25,3:51 AM,6:11 AM,1:33 PM,5:32 PM,8:54 PM,10:09 PM,
Friday,26,3:50 AM,6:09 AM,1:33 PM,5:33 PM,8:55 PM,10:10 PM,
Saturday,27,3:49 AM,6:07 AM,1:33 PM,5:34 PM,8:57 PM,10:12 PM,
Sunday,28,3:48 AM,6:05 AM,1:33 PM,5:35 PM,8:59 PM,10:14 PM,
Monday,29,3:47 AM,6:03 AM,1:33 PM,5:35 PM,9:01 PM,10:16 PM,
Tuesday,30,3:45 AM,6:01 AM,1:33 PM,5:36 PM,9:03 PM,10:18 PM,
,May,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Wednesday,1,3:44 AM,5:59 AM,1:33 PM,5:37 PM,9:04 PM,10:19 PM,
Thursday,2,3:43 AM,5:57 AM,1:32 PM,5:38 PM,9:06 PM,10:21 PM,
Friday,3,3:42 AM,5:55 AM,1:32 PM,5:38 PM,9:08 PM,10:23 PM,
Saturday,4,3:41 AM,5:53 AM,1:32 PM,5:39 PM,9:10 PM,10:25 PM,
Sunday,5,3:40 AM,5:51 AM,1:32 PM,5:40 PM,9:11 PM,10:26 PM,
Monday,6,3:39 AM,5:49 AM,1:32 PM,5:40 PM,9:13 PM,10:28 PM,
Tuesday,7,3:38 AM,5:47 AM,1:32 PM,5:41 PM,9:15 PM,10:30 PM,
Wednesday,8,3:37 AM,5:45 AM,1:32 PM,5:42 PM,9:17 PM,10:32 PM,
Thursday,9,3:36 AM,5:43 AM,1:32 PM,5:43 PM,9:18 PM,10:33 PM,
Friday,10,3:35 AM,5:41 AM,1:32 PM,5:43 PM,9:20 PM,10:35 PM,
Saturday,11,3:34 AM,5:40 AM,1:32 PM,5:44 PM,9:22 PM,10:37 PM,
Sunday,12,3:33 AM,5:38 AM,1:32 PM,5:45 PM,9:24 PM,10:39 PM,
Monday,13,3:33 AM,5:36 AM,1:32 PM,5:45 PM,9:25 PM,10:40 PM,
Tuesday,14,3:32 AM,5:34 AM,1:32 PM,5:46 PM,9:27 PM,10:42 PM,
Wednesday,15,3:31 AM,5:33 AM,1:32 PM,5:47 PM,9:29 PM,10:44 PM,
Thursday,16,3:30 AM,5:31 AM,1:32 PM,5:47 PM,9:30 PM,10:45 PM,
Friday,17,3:29 AM,5:30 AM,1:32 PM,5:48 PM,9:32 PM,10:47 PM,
Saturday,18,3:29 AM,5:28 AM,1:32 PM,5:49 PM,9:34 PM,10:49 PM,
Sunday,19,3:28 AM,5:27 AM,1:32 PM,5:49 PM,9:35 PM,10:50 PM,
Monday,20,3:27 AM,5:25 AM,1:32 PM,5:50 PM,9:37 PM,10:52 PM,
Tuesday,21,3:27 AM,5:24 AM,1:32 PM,5:50 PM,9:38 PM,10:53 PM,
Wednesday,22,3:25 AM,5:22 AM,1:32 PM,5:51 PM,9:40 PM,10:55 PM,
Thursday,23,3:23 AM,5:21 AM,1:32 PM,5:52 PM,9:41 PM,10:56 PM,
Friday,24,3:21 AM,5:20 AM,1:32 PM,5:52 PM,9:43 PM,10:58 PM,
Saturday,25,3:19 AM,5:18 AM,1:32 PM,5:53 PM,9:44 PM,10:59 PM,
Sunday,26,3:18 AM,5:17 AM,1:32 PM,5:53 PM,9:46 PM,11:01 PM,
Monday,27,3:16 AM,5:16 AM,1:32 PM,5:54 PM,9:47 PM,11:02 PM,
Tuesday,28,3:14 AM,5:15 AM,1:33 PM,5:55 PM,9:48 PM,11:03 PM,
Wednesday,29,3:13 AM,5:14 AM,1:33 PM,5:55 PM,9:50 PM,11:05 PM,
Thursday,30,3:11 AM,5:13 AM,1:33 PM,5:56 PM,9:51 PM,11:06 PM,
Friday,31,3:10 AM,5:12 AM,1:33 PM,5:56 PM,9:52 PM,11:07 PM,
,June,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Saturday,1,3:09 AM,5:11 AM,1:33 PM,5:57 PM,9:53 PM,11:08 PM,
Sunday,2,3:07 AM,5:10 AM,1:33 PM,5:57 PM,9:55 PM,11:10 PM,
Monday,3,3:06 AM,5:09 AM,1:33 PM,5:58 PM,9:56 PM,11:11 PM,
Tuesday,4,3:05 AM,5:08 AM,1:34 PM,5:58 PM,9:57 PM,11:12 PM,
Wednesday,5,3:04 AM,5:08 AM,1:34 PM,5:59 PM,9:58 PM,11:13 PM,
Thursday,6,3:03 AM,5:07 AM,1:34 PM,5:59 PM,9:59 PM,11:14 PM,
Friday,7,3:02 AM,5:06 AM,1:34 PM,5:59 PM,10:00 PM,11:15 PM,
Saturday,8,3:01 AM,5:06 AM,1:34 PM,6:00 PM,10:01 PM,11:16 PM,
Sunday,9,3:00 AM,5:05 AM,1:34 PM,6:00 PM,10:02 PM,11:17 PM,
Monday,10,2:59 AM,5:05 AM,1:35 PM,6:01 PM,10:03 PM,11:18 PM,
Tuesday,11,2:58 AM,5:04 AM,1:35 PM,6:01 PM,10:03 PM,11:18 PM,
Wednesday,12,2:58 AM,5:04 AM,1:35 PM,6:01 PM,10:04 PM,11:19 PM,
Thursday,13,2:57 AM,5:04 AM,1:35 PM,6:02 PM,10:05 PM,11:20 PM,
Friday,14,2:57 AM,5:03 AM,1:35 PM,6:02 PM,10:05 PM,11:20 PM,
Saturday,15,2:57 AM,5:03 AM,1:36 PM,6:02 PM,10:06 PM,11:21 PM,
Sunday,16,2:56 AM,5:03 AM,1:36 PM,6:03 PM,10:07 PM,11:22 PM,
Monday,17,2:56 AM,5:03 AM,1:36 PM,6:03 PM,10:07 PM,11:22 PM,
Tuesday,18,2:56 AM,5:03 AM,1:36 PM,6:03 PM,10:07 PM,11:22 PM,
Wednesday,19,2:56 AM,5:03 AM,1:36 PM,6:04 PM,10:08 PM,11:23 PM,
Thursday,20,2:56 AM,5:03 AM,1:37 PM,6:04 PM,10:08 PM,11:23 PM,
Friday,21,2:56 AM,5:03 AM,1:37 PM,6:04 PM,10:08 PM,11:23 PM,
Saturday,22,2:56 AM,5:04 AM,1:37 PM,6:04 PM,10:09 PM,11:24 PM,
Sunday,23,2:57 AM,5:04 AM,1:37 PM,6:04 PM,10:09 PM,11:24 PM,
Monday,24,2:57 AM,5:04 AM,1:38 PM,6:05 PM,10:09 PM,11:24 PM,
Tuesday,25,2:58 AM,5:05 AM,1:38 PM,6:05 PM,10:09 PM,11:24 PM,
Wednesday,26,2:58 AM,5:05 AM,1:38 PM,6:05 PM,10:09 PM,11:24 PM,
Thursday,27,2:59 AM,5:06 AM,1:38 PM,6:05 PM,10:09 PM,11:24 PM,
Friday,28,3:00 AM,5:06 AM,1:38 PM,6:05 PM,10:08 PM,11:23 PM,
Saturday,29,3:00 AM,5:07 AM,1:39 PM,6:05 PM,10:08 PM,11:23 PM,
Sunday,30,3:01 AM,5:07 AM,1:39 PM,6:05 PM,10:08 PM,11:23 PM,
,July,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Monday,1,3:02 AM,5:08 AM,1:39 PM,6:05 PM,10:08 PM,11:23 PM,
Tuesday,2,3:03 AM,5:09 AM,1:39 PM,6:05 PM,10:07 PM,11:22 PM,
Wednesday,3,3:05 AM,5:10 AM,1:39 PM,6:05 PM,10:07 PM,11:22 PM,
Thursday,4,3:06 AM,5:11 AM,1:39 PM,6:05 PM,10:06 PM,11:21 PM,
Friday,5,3:07 AM,5:11 AM,1:40 PM,6:05 PM,10:06 PM,11:21 PM,
Saturday,6,3:08 AM,5:12 AM,1:40 PM,6:05 PM,10:05 PM,11:20 PM,
Sunday,7,3:10 AM,5:13 AM,1:40 PM,6:05 PM,10:05 PM,11:20 PM,
Monday,8,3:11 AM,5:14 AM,1:40 PM,6:05 PM,10:04 PM,11:19 PM,
Tuesday,9,3:13 AM,5:15 AM,1:40 PM,6:05 PM,10:03 PM,11:18 PM,
Wednesday,10,3:14 AM,5:17 AM,1:40 PM,6:04 PM,10:02 PM,11:17 PM,
Thursday,11,3:16 AM,5:18 AM,1:41 PM,6:04 PM,10:01 PM,11:16 PM,
Friday,12,3:17 AM,5:19 AM,1:41 PM,6:04 PM,10:00 PM,11:15 PM,
Saturday,13,3:19 AM,5:20 AM,1:41 PM,6:04 PM,10:00 PM,11:15 PM,
Sunday,14,3:21 AM,5:21 AM,1:41 PM,6:04 PM,9:58 PM,11:13 PM,
Monday,15,3:22 AM,5:23 AM,1:41 PM,6:03 PM,9:57 PM,11:12 PM,
Tuesday,16,3:24 AM,5:24 AM,1:41 PM,6:03 PM,9:56 PM,11:11 PM,
Wednesday,17,3:26 AM,5:25 AM,1:41 PM,6:03 PM,9:55 PM,11:10 PM,
Thursday,18,3:28 AM,5:27 AM,1:41 PM,6:02 PM,9:54 PM,11:09 PM,
Friday,19,3:30 AM,5:28 AM,1:41 PM,6:02 PM,9:53 PM,11:08 PM,
Saturday,20,3:32 AM,5:30 AM,1:41 PM,6:01 PM,9:51 PM,11:06 PM,
Sunday,21,3:34 AM,5:31 AM,1:42 PM,6:01 PM,9:50 PM,11:05 PM,
Monday,22,3:36 AM,5:32 AM,1:42 PM,6:00 PM,9:49 PM,11:04 PM,
Tuesday,23,3:37 AM,5:34 AM,1:42 PM,6:00 PM,9:47 PM,11:02 PM,
Wednesday,24,3:38 AM,5:35 AM,1:42 PM,5:59 PM,9:46 PM,11:01 PM,
Thursday,25,3:39 AM,5:37 AM,1:42 PM,5:59 PM,9:44 PM,10:59 PM,
Friday,26,3:40 AM,5:39 AM,1:42 PM,5:58 PM,9:43 PM,10:58 PM,
Saturday,27,3:40 AM,5:40 AM,1:42 PM,5:58 PM,9:41 PM,10:56 PM,
Sunday,28,3:41 AM,5:42 AM,1:42 PM,5:57 PM,9:40 PM,10:55 PM,
Monday,29,3:42 AM,5:43 AM,1:42 PM,5:56 PM,9:38 PM,10:53 PM,
Tuesday,30,3:43 AM,5:45 AM,1:42 PM,5:56 PM,9:36 PM,10:51 PM,
Wednesday,31,3:44 AM,5:47 AM,1:42 PM,5:55 PM,9:34 PM,10:49 PM,
,August,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Thursday,1,3:44 AM,5:48 AM,1:41 PM,5:54 PM,9:33 PM,10:48 PM,
Friday,2,3:45 AM,5:50 AM,1:41 PM,5:53 PM,9:31 PM,10:46 PM,
Saturday,3,3:46 AM,5:52 AM,1:41 PM,5:53 PM,9:29 PM,10:44 PM,
Sunday,4,3:47 AM,5:53 AM,1:41 PM,5:52 PM,9:27 PM,10:42 PM,
Monday,5,3:48 AM,5:55 AM,1:41 PM,5:51 PM,9:25 PM,10:40 PM,
Tuesday,6,3:48 AM,5:57 AM,1:41 PM,5:50 PM,9:23 PM,10:38 PM,
Wednesday,7,3:49 AM,5:58 AM,1:41 PM,5:49 PM,9:22 PM,10:37 PM,
Thursday,8,3:50 AM,6:00 AM,1:41 PM,5:48 PM,9:20 PM,10:35 PM,
Friday,9,3:51 AM,6:02 AM,1:41 PM,5:47 PM,9:18 PM,10:33 PM,
Saturday,10,3:52 AM,6:04 AM,1:41 PM,5:46 PM,9:16 PM,10:31 PM,
Sunday,11,3:52 AM,6:05 AM,1:40 PM,5:45 PM,9:14 PM,10:29 PM,
Monday,12,3:53 AM,6:07 AM,1:40 PM,5:44 PM,9:12 PM,10:27 PM,
Tuesday,13,3:54 AM,6:09 AM,1:40 PM,5:43 PM,9:09 PM,10:24 PM,
Wednesday,14,3:55 AM,6:10 AM,1:40 PM,5:42 PM,9:07 PM,10:22 PM,
Thursday,15,3:56 AM,6:12 AM,1:40 PM,5:41 PM,9:05 PM,10:20 PM,
Friday,16,3:56 AM,6:14 AM,1:39 PM,5:40 PM,9:03 PM,10:18 PM,
Saturday,17,3:57 AM,6:16 AM,1:39 PM,5:39 PM,9:01 PM,10:16 PM,
Sunday,18,3:58 AM,6:17 AM,1:39 PM,5:38 PM,8:59 PM,10:14 PM,
Monday,19,3:59 AM,6:19 AM,1:39 PM,5:36 PM,8:56 PM,10:11 PM,
Tuesday,20,3:59 AM,6:21 AM,1:39 PM,5:35 PM,8:54 PM,10:09 PM,
Wednesday,21,4:00 AM,6:23 AM,1:38 PM,5:34 PM,8:52 PM,10:08 PM,
Thursday,22,4:01 AM,6:24 AM,1:38 PM,5:33 PM,8:50 PM,10:07 PM,
Friday,23,4:01 AM,6:26 AM,1:38 PM,5:31 PM,8:47 PM,10:05 PM,
Saturday,24,4:04 AM,6:28 AM,1:37 PM,5:30 PM,8:45 PM,10:04 PM,
Sunday,25,4:08 AM,6:30 AM,1:37 PM,5:29 PM,8:43 PM,10:03 PM,
Monday,26,4:11 AM,6:31 AM,1:37 PM,5:27 PM,8:41 PM,10:02 PM,
Tuesday,27,4:14 AM,6:33 AM,1:37 PM,5:26 PM,8:38 PM,10:00 PM,
Wednesday,28,4:16 AM,6:35 AM,1:36 PM,5:24 PM,8:36 PM,9:59 PM,
Thursday,29,4:19 AM,6:36 AM,1:36 PM,5:23 PM,8:34 PM,9:58 PM,
Friday,30,4:22 AM,6:38 AM,1:36 PM,5:22 PM,8:31 PM,9:57 PM,
Saturday,31,4:25 AM,6:40 AM,1:35 PM,5:20 PM,8:29 PM,9:55 PM,
,September,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Sunday,1,4:28 AM,6:42 AM,1:35 PM,5:19 PM,8:26 PM,9:54 PM,
Monday,2,4:30 AM,6:43 AM,1:35 PM,5:17 PM,8:24 PM,9:53 PM,
Tuesday,3,4:33 AM,6:45 AM,1:34 PM,5:16 PM,8:22 PM,9:52 PM,
Wednesday,4,4:36 AM,6:47 AM,1:34 PM,5:14 PM,8:19 PM,9:50 PM,
Thursday,5,4:38 AM,6:49 AM,1:34 PM,5:13 PM,8:17 PM,9:49 PM,
Friday,6,4:41 AM,6:50 AM,1:33 PM,5:11 PM,8:14 PM,9:48 PM,
Saturday,7,4:43 AM,6:52 AM,1:33 PM,5:09 PM,8:12 PM,9:47 PM,
Sunday,8,4:46 AM,6:54 AM,1:33 PM,5:08 PM,8:09 PM,9:45 PM,
Monday,9,4:48 AM,6:56 AM,1:32 PM,5:06 PM,8:07 PM,9:44 PM,
Tuesday,10,4:51 AM,6:57 AM,1:32 PM,5:05 PM,8:05 PM,9:43 PM,
Wednesday,11,4:53 AM,6:59 AM,1:32 PM,5:03 PM,8:02 PM,9:42 PM,
Thursday,12,4:56 AM,7:01 AM,1:31 PM,5:01 PM,8:00 PM,9:40 PM,
Friday,13,4:58 AM,7:02 AM,1:31 PM,5:00 PM,7:57 PM,9:39 PM,
Saturday,14,5:00 AM,7:04 AM,1:30 PM,4:58 PM,7:55 PM,9:38 PM,
Sunday,15,5:03 AM,7:06 AM,1:30 PM,4:56 PM,7:52 PM,9:37 PM,
Monday,16,5:05 AM,7:08 AM,1:30 PM,4:54 PM,7:50 PM,9:35 PM,
Tuesday,17,5:07 AM,7:09 AM,1:29 PM,4:53 PM,7:47 PM,9:34 PM,
Wednesday,18,5:09 AM,7:11 AM,1:29 PM,4:51 PM,7:45 PM,9:33 PM,
Thursday,19,5:12 AM,7:13 AM,1:29 PM,4:49 PM,7:42 PM,9:31 PM,
Friday,20,5:14 AM,7:15 AM,1:28 PM,4:48 PM,7:40 PM,9:30 PM,
Saturday,21,5:16 AM,7:16 AM,1:28 PM,4:46 PM,7:37 PM,9:30 PM,
Sunday,22,5:18 AM,7:18 AM,1:27 PM,4:44 PM,7:35 PM,9:27 PM,
Monday,23,5:20 AM,7:20 AM,1:27 PM,4:42 PM,7:32 PM,9:25 PM,
Tuesday,24,5:22 AM,7:22 AM,1:27 PM,4:40 PM,7:30 PM,9:22 PM,
Wednesday,25,5:24 AM,7:23 AM,1:26 PM,4:39 PM,7:27 PM,9:19 PM,
Thursday,26,5:26 AM,7:25 AM,1:26 PM,4:37 PM,7:25 PM,9:16 PM,
Friday,27,5:28 AM,7:27 AM,1:26 PM,4:35 PM,7:23 PM,9:14 PM,
Saturday,28,5:30 AM,7:29 AM,1:25 PM,4:33 PM,7:20 PM,9:11 PM,
Sunday,29,5:32 AM,7:30 AM,1:25 PM,4:31 PM,7:18 PM,9:08 PM,
